ids,train_1_test_0_ids,true_labels,predicted_labels_srnc,predicted_labels_rejection,predicted_labels_semi,known_1_unknown_0_classes
0,0,1,1,111,1,1
1,0,1,1,111,1,1
2,0,1,1,111,1,1
3,0,1,1,111,1,1
4,0,1,1,111,1,1
5,0,1,1,111,1,1
6,0,1,1,111,1,1
7,1,1,-1,-1,-1,-1
8,0,1,1,111,1,1
9,0,1,1,111,1,1
10,0,1,1,111,1,1
11,0,1,1,111,1,1
12,0,1,1,111,1,1
13,0,1,1,111,1,1
14,0,1,1,111,1,1
15,1,1,-1,-1,-1,-1
16,0,1,1,111,1,1
17,0,1,1,111,1,1
18,0,1,1,111,1,1
19,0,1,1,111,1,1
20,0,1,1,111,1,1
21,0,2,2,111,2,1
22,1,2,-1,-1,-1,-1
23,0,2,2,111,2,1
24,0,2,2,111,2,1
25,0,2,2,111,2,1
26,0,2,2,111,2,1
27,0,2,2,111,2,1
28,0,2,2,111,2,1
29,0,2,2,111,2,1
30,0,2,2,111,2,1
31,1,2,-1,-1,-1,-1
32,0,2,2,111,2,1
33,0,2,2,111,2,1
34,0,2,2,111,2,1
35,0,2,2,111,2,1
36,0,2,2,111,2,1
37,1,2,-1,-1,-1,-1
38,0,9,9,111,14,1
39,0,9,9,111,14,1
40,0,9,9,111,9,1
41,0,9,9,111,9,1
42,0,9,9,111,9,1
43,1,9,-1,-1,-1,-1
44,0,9,9,111,14,1
45,0,9,9,111,9,1
46,0,9,9,111,9,1
47,1,9,-1,-1,-1,-1
48,0,9,9,111,9,1
49,0,3,3,111,3,1
50,0,3,3,111,3,1
51,0,3,3,111,3,1
52,0,3,3,111,3,1
53,0,3,3,111,3,1
54,0,3,3,111,3,1
55,0,3,3,111,3,1
56,0,3,3,111,3,1
57,0,3,3,111,3,1
58,0,3,3,111,3,1
59,0,3,3,111,3,1
60,0,3,3,111,3,1
61,0,3,3,111,3,1
62,0,3,3,111,3,1
63,1,3,-1,-1,-1,-1
64,0,3,3,111,3,1
65,0,3,3,111,3,1
66,0,3,3,111,3,1
67,0,3,3,111,3,1
68,0,3,3,111,3,1
69,0,3,3,111,3,1
70,0,3,3,111,3,1
71,0,3,3,111,3,1
72,1,3,-1,-1,-1,-1
73,0,3,3,111,3,1
74,0,3,3,111,3,1
75,1,3,-1,-1,-1,-1
76,0,3,3,111,3,1
77,0,3,3,111,3,1
78,0,3,3,111,3,1
79,0,3,3,111,3,1
80,0,3,3,111,3,1
81,0,3,3,111,3,1
82,0,3,3,111,3,1
83,0,3,3,111,3,1
84,0,3,3,111,3,1
85,0,3,3,111,3,1
86,0,9,9,111,9,1
87,0,9,9,111,9,1
88,0,9,9,111,9,1
89,0,9,9,111,14,1
90,0,9,9,111,9,1
91,0,9,9,111,14,1
92,0,9,9,111,9,1
93,0,9,9,111,9,1
94,0,9,9,111,9,1
95,1,9,-1,-1,-1,-1
96,0,9,9,111,14,1
97,0,9,9,111,9,1
98,0,9,9,111,14,1
99,0,9,9,111,9,1
100,0,9,9,111,9,1
101,0,9,9,111,14,1
102,0,9,9,111,14,1
103,0,9,9,111,9,1
104,1,9,-1,-1,-1,-1
105,0,9,9,111,14,1
106,0,9,9,111,9,1
107,0,9,9,111,14,1
108,0,9,9,111,14,1
109,0,9,9,111,14,1
110,0,9,9,111,9,1
111,0,9,9,111,14,1
112,0,9,9,111,14,1
113,0,9,9,111,14,1
114,0,9,9,111,14,1
115,0,9,9,111,9,1
116,1,9,-1,-1,-1,-1
117,0,8,8,111,8,1
118,0,8,8,111,8,1
119,0,8,8,111,15,1
120,0,8,8,111,15,1
121,0,8,8,111,8,1
122,0,8,8,111,8,1
123,0,8,8,111,8,1
124,1,8,-1,-1,-1,-1
125,0,8,8,111,8,1
126,0,8,8,111,8,1
127,0,8,8,111,8,1
128,0,8,8,111,15,1
129,0,8,8,111,8,1
130,0,8,8,111,8,1
131,0,8,8,111,8,1
132,0,8,8,111,8,1
133,0,8,8,111,8,1
134,0,8,8,111,8,1
135,0,8,8,111,8,1
136,0,8,8,111,13,1
137,0,8,8,111,8,1
138,0,8,8,111,15,1
139,0,8,8,111,15,1
140,0,8,8,111,8,1
141,0,8,8,111,15,1
142,0,8,8,111,8,1
143,0,8,8,111,8,1
144,0,8,8,111,8,1
145,0,8,8,111,8,1
146,0,8,8,111,13,1
147,0,8,8,111,8,1
148,1,8,-1,-1,-1,-1
149,0,8,8,111,8,1
150,0,8,8,111,8,1
151,0,8,8,111,8,1
152,0,8,8,111,8,1
153,0,8,8,111,8,1
154,0,8,8,111,15,1
155,0,8,8,111,8,1
156,0,8,8,111,8,1
157,0,8,8,111,8,1
158,0,8,8,111,15,1
159,0,8,8,111,8,1
160,0,8,8,111,15,1
161,0,8,8,111,15,1
162,1,8,-1,-1,-1,-1
163,0,8,8,111,8,1
164,0,8,8,111,8,1
165,0,8,8,111,8,1
166,0,8,8,111,8,1
167,1,8,-1,-1,-1,-1
168,1,8,-1,-1,-1,-1
169,0,8,8,111,8,1
170,0,8,8,111,8,1
171,0,7,111,111,7,1
172,0,7,111,111,7,1
173,0,7,111,111,17,1
174,0,7,111,111,7,1
175,0,7,111,111,7,1
176,0,7,111,111,7,1
177,1,7,-1,-1,-1,-1
178,0,7,111,111,17,1
179,0,7,111,111,17,1
180,0,7,111,111,7,1
181,0,7,111,111,7,1
182,0,7,111,111,7,1
183,0,7,111,111,7,1
184,0,7,111,111,17,1
185,0,7,111,111,7,1
186,0,7,111,111,7,1
187,0,7,111,111,7,1
188,0,7,111,111,7,1
189,0,7,111,111,17,1
190,0,7,111,111,7,1
191,0,7,111,111,7,1
192,0,7,111,111,7,1
193,0,7,111,111,7,1
194,0,7,111,111,7,1
195,0,10,111,111,12,0
196,0,10,111,111,12,0
197,0,10,111,111,12,0
198,0,10,111,111,12,0
199,0,10,111,111,12,0
200,0,10,111,111,12,0
201,0,10,111,111,12,0
202,0,10,111,111,12,0
203,0,10,111,111,12,0
204,0,10,111,111,12,0
205,0,10,111,111,12,0
206,0,10,111,111,12,0
207,0,10,111,111,12,0
208,0,10,111,111,12,0
209,0,10,111,111,12,0
210,0,10,111,111,12,0
